registry_id,primary_law,enf_outcome_code,self_disclosure_frequency,penalty_frequency,fed_penalty_assessed_amt,state_local_penalty_amt,sep_amt,compliance_action_cost,cost_recovery_awarded_amt,state,county,epa_region,lat,long,low_income_ratio,white_population_ratio,black_population_ratio,hispanic_population_ratio,asian_population_ratio,american_indian_population_ratio,air_pollutant_class_code,caasip,caamact,caansps,caatvp,caagactm,other,rad_wbd_huc12s,democrat,independent,libertarian,republican
110000492878.0,CAA,ECP,0.0,1,1951.0,0.0,0.0,100.0,0.0,GA,COWETA,4.0,33.37419,-84.79746,0.35,0.48,0.34,0.11,0.01,0.0,MAJ,1.0,1.0,0.0,1.0,0.0,0.0,,68.0,0.0,0.0,94.0
110000493074.0,TSCA,ECP,0.0,1,12045.0,0.0,0.0,100000.0,0.0,AL,SUMTER,4.0,32.804207,-88.312353,0.61,0.21,0.18,0.0,0.0,0.0,SMI,1.0,0.0,1.0,1.0,0.0,2.0,,13.0,0.0,0.0,79.0
110000493412.0,CAA,EDN,0.0,1,0.0,0.0,0.0,50000.0,0.0,OH,TUSCARAWAS,5.0,40.2814,-81.56784,0.42,0.98,0.01,0.01,0.0,0.0,SMI,1.0,0.0,0.0,0.0,0.0,1.0,,59.0,0.0,0.0,123.0
110000493644.0,EPCRA,ECP,0.0,2,238221.0,0.0,191129.86,1027100.0,0.0,IN,MARION,5.0,39.781162,-86.225313,0.54,0.5,0.28,0.18,0.02,0.01,MAJ,0.0,1.0,1.0,1.0,0.0,1.0,,33.0,0.0,0.0,51.0
110000493680.0,CAA,ECP,1.0,1,2850000.0,0.0,1775000.0,4000000.0,0.0,IN,LAKE,5.0,41.638417,-87.502917,0.47,0.51,0.39,0.48,0.0,0.01,MAJ,1.0,1.0,1.0,1.0,0.0,0.0,,33.0,0.0,0.0,51.0
110000493804.0,FIFRA,,0.0,1,0.0,0.0,0.0,0.0,0.0,IN,ALLEN,5.0,41.09177,-85.17427,0.44,0.74,0.12,0.1,0.02,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,33.0,0.0,0.0,51.0
110000494019.0,RCRA,ECP,0.0,2,72528.0,0.0,62289.65,0.0,0.0,MI,WAYNE COUNTY,5.0,42.2183,-83.1459,0.38,0.87,0.1,0.1,0.01,0.01,MAJ,4.0,2.0,2.0,4.0,0.0,4.0,04,115.0,1.0,1.0,85.0
110000494046.0,CAA,ECP,0.0,1,3600.0,0.0,0.0,0.0,0.0,MI,WAYNE,5.0,42.29401,-83.15353,0.6,0.63,0.2,0.31,0.01,0.01,SMI,1.0,1.0,1.0,1.0,1.0,1.0,,115.0,1.0,1.0,85.0
110000494171.0,CAA,ECP,0.0,1,23296.0,0.0,63630.0,0.0,0.0,MI,MUSKEGON,5.0,43.28518,-86.256312,0.26,0.87,0.05,0.03,0.01,0.01,SMI,1.0,0.0,1.0,1.0,0.0,1.0,,115.0,1.0,1.0,85.0
110000494894.0,CAA,ECP,0.0,2,891142.0,0.0,119000.0,20000.0,0.0,LA,CALCASIEU,6.0,30.2235,-93.2869,0.27,0.74,0.13,0.02,0.01,0.0,MAJ,1.0,1.0,1.0,1.0,0.0,6.0,08,8.0,0.0,0.0,51.0
